OBJECTID,FID_PA_Tra,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,FID_PA_Mun,STATEFP10_,COUNTYFP_1,COUSUBFP10,COUSUBNS10,GEOID10_1,NAME10_1,NAMELSAD_1,LSAD10,CLASSFP10,MTFCC10_1,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT_1,ALAND10_1,AWATER10_1,INTPTLAT_1,INTPTLON_1,Shape_Le_1,Shape_Le_2,Shape_Area
1,0,42,003,560500,42003560500,5605,Census Tract 5605,G5020,S,464657.000000000000000,0.000000000000000,+40.4377740,-079.8912723,3615.069940870000210,132,42,003,85188,01214842,4200385188,Wilkinsburg,Wilkinsburg borough,21,C5,G4040, , , ,F,5830400.000000000000000,0.000000000000000,+40.4442008,-079.8733331,18376.276488799998333,2749.863124245469407,464619.124180784856435
2,1,42,003,560400,42003560400,5604,Census Tract 5604,G5020,S,511109.000000000000000,0.000000000000000,+40.4446636,-079.8902459,4375.618495599999733,132,42,003,85188,01214842,4200385188,Wilkinsburg,Wilkinsburg borough,21,C5,G4040, , , ,F,5830400.000000000000000,0.000000000000000,+40.4442008,-079.8733331,18376.276488799998333,3326.389899060797234,511067.579322944337036
3,2,42,003,552400,42003552400,5524,Census Tract 5524,G5020,S,2044853.000000000000000,200574.000000000000000,+40.3332132,-079.8436326,12301.278975900000660,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,9372.059335813091820,2245253.884264620952308
4,3,42,003,552300,42003552300,5523,Census Tract 5523,G5020,S,830982.000000000000000,0.000000000000000,+40.3417540,-079.8513513,6311.884372450000228,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4808.516578564799602,830919.279869860969484
5,4,42,003,552200,42003552200,5522,Census Tract 5522,G5020,S,804538.000000000000000,243347.000000000000000,+40.3488998,-079.8775090,6159.004333560000305,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4690.300476104321206,1047798.901809053728357
6,5,42,003,552100,42003552100,5521,Census Tract 5521,G5020,S,692578.000000000000000,85815.000000000000000,+40.3450536,-079.8633846,6294.405047670000386,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4793.983557200709583,778330.101789624546655
7,6,42,003,060500,42003060500,605,Census Tract 605,G5020,S,657516.000000000000000,0.000000000000000,+40.4576591,-079.9662264,5959.903027889999976,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4535.173558855867668,657464.639866271987557
8,7,42,003,060300,42003060300,603,Census Tract 603,G5020,S,1119311.000000000000000,144825.000000000000000,+40.4649258,-079.9653098,6904.298390429999927,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,5250.129740748485347,1264030.999164831126109
9,8,42,003,051100,42003051100,511,Census Tract 511,G5020,S,183645.000000000000000,0.000000000000000,+40.4416579,-079.9764621,2445.179322399999819,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,1859.780578240070554,183629.225433528947178
10,9,42,003,051000,42003051000,510,Census Tract 510,G5020,S,643937.000000000000000,0.000000000000000,+40.4443798,-079.9675345,5636.774979560000247,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4288.462955031252932,643883.217522849445231
11,10,42,003,050900,42003050900,509,Census Tract 509,G5020,S,462660.000000000000000,4114.000000000000000,+40.4512373,-079.9745804,5639.777911139999560,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4291.713852283975029,466738.050710541370790
12,11,42,003,050600,42003050600,506,Census Tract 506,G5020,S,806320.000000000000000,6854.000000000000000,+40.4533964,-079.9597752,4861.469082300000082,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,3696.745570431611213,813109.215409413329326
13,12,42,003,475401,42003475401,4754.01,Census Tract 4754.01,G5020,S,5916182.000000000000000,0.000000000000000,+40.3403442,-080.0147545,14697.745910100000401,165,42,003,06064,01214770,4200306064,Bethel Park,Bethel Park municipality,37,C5,G4040, , , ,F,30227275.000000000000000,0.000000000000000,+40.3238892,-080.0363675,29957.148819400001230,11189.730942203419545,5915725.097845866344869
14,13,42,003,477100,42003477100,4771,Census Tract 4771,G5020,S,2161102.000000000000000,0.000000000000000,+40.3584905,-080.0050144,11834.193983200000730,129,42,003,84512,01214840,4200384512,Whitehall,Whitehall borough,21,C5,G4040, , , ,F,8612990.000000000000000,0.000000000000000,+40.3602049,-079.9897932,25941.596880799999781,9010.942073824939143,2160932.865165842231363
15,14,42,003,477300,42003477300,4773,Census Tract 4773,G5020,S,3552030.000000000000000,0.000000000000000,+40.3566643,-079.9776501,13785.121894899999461,129,42,003,84512,01214840,4200384512,Whitehall,Whitehall borough,21,C5,G4040, , , ,F,8612990.000000000000000,0.000000000000000,+40.3602049,-079.9897932,25941.596880799999781,10498.226499458041872,3551754.294278115499765
16,15,42,003,478200,42003478200,4782,Census Tract 4782,G5020,S,2235707.000000000000000,0.000000000000000,+40.3736155,-079.9720820,11418.281581999999617,171,42,003,08416,01214776,4200308416,Brentwood,Brentwood borough,21,C5,G4040, , , ,F,3749575.000000000000000,0.000000000000000,+40.3733694,-079.9757876,12090.817645999999513,8693.340045467894015,2235532.433861939702183
17,16,42,003,480101,42003480101,4801.01,Census Tract 4801.01,G5020,S,2291388.000000000000000,0.000000000000000,+40.3411617,-079.9835109,10976.275445400000535,153,42,003,03928,01214765,4200303928,Baldwin,Baldwin borough,21,C5,G4040, , , ,F,14977914.000000000000000,275717.000000000000000,+40.3796070,-079.9456410,56054.587657299998682,8362.092235605134192,2291209.892224449664354
18,17,42,003,562000,42003562000,5620,Census Tract 5620,G5020,S,586939.000000000000000,0.000000000000000,+40.4518379,-079.9538987,6142.215132360000098,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4668.423882939261603,586894.333603684208356
19,18,42,003,980100,42003980100,9801,Census Tract 9801,G5020,S,1440881.000000000000000,252755.000000000000000,+40.4798795,-079.9165548,10873.087636700000076,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,8264.926479364061379,1693499.052142292493954
20,19,42,003,515401,42003515401,5154.01,Census Tract 5154.01,G5020,S,604924.000000000000000,0.000000000000000,+40.4228478,-079.8960600,7414.571198339999683,93,42,003,75816,01214828,4200375816,Swissvale,Swissvale borough,21,C5,G4040, , , ,F,3110331.000000000000000,109170.000000000000000,+40.4202710,-079.8860282,15570.623729999999341,5638.324960978714444,604872.770393084851094
21,20,42,003,561600,42003561600,5616,Census Tract 5616,G5020,S,1570375.000000000000000,0.000000000000000,+40.4148519,-079.9663546,8471.542205319999994,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,6449.719033500017758,1570255.966452550841495
22,21,42,003,561700,42003561700,5617,Census Tract 5617,G5020,S,1075703.000000000000000,0.000000000000000,+40.4093198,-079.9739799,6111.612315919999673,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4653.345128844236569,1075616.487413670169190
23,22,42,003,980800,42003980800,9808,Census Tract 9808,G5020,S,400091.000000000000000,163596.000000000000000,+40.4341374,-079.9683957,6530.513277920000291,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4971.627278006374581,563636.460418402450159
24,23,42,003,552000,42003552000,5520,Census Tract 5520,G5020,S,639469.000000000000000,0.000000000000000,+40.3415634,-079.8409061,4948.466068319999977,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,3769.981020017887204,639425.396699959062971
25,24,42,003,551900,42003551900,5519,Census Tract 5519,G5020,S,1811273.000000000000000,393206.000000000000000,+40.3551633,-079.8493157,12965.217977899999823,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,9880.769117782498142,2204303.251833875663579
26,25,42,003,551300,42003551300,5513,Census Tract 5513,G5020,S,3944142.000000000000000,29848.000000000000000,+40.3317099,-079.8284109,15155.857500599999184,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,11541.369291644869008,3973685.270550426095724
27,26,42,003,551200,42003551200,5512,Census Tract 5512,G5020,S,1308014.000000000000000,0.000000000000000,+40.3509099,-079.8356105,7141.720008840000446,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,5440.728969264147963,1307914.394972735084593
28,27,42,003,550900,42003550900,5509,Census Tract 5509,G5020,S,988905.000000000000000,0.000000000000000,+40.3484367,-079.8518350,7017.710591390000445,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,5346.728480612290696,988830.602936120587401
29,28,42,003,526302,42003526302,5263.02,Census Tract 5263.02,G5020,S,3993928.000000000000000,0.000000000000000,+40.4618247,-079.7106032,13334.054010399999243,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,10129.495836870313724,3993601.329010152257979
30,29,42,003,526301,42003526301,5263.01,Census Tract 5263.01,G5020,S,4347691.000000000000000,0.000000000000000,+40.4760218,-079.7184428,15207.294357299999319,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,11558.608755630546511,4347334.855453687720001
31,30,42,003,526202,42003526202,5262.02,Census Tract 5262.02,G5020,S,11354337.000000000000000,0.000000000000000,+40.4682186,-079.7520788,25920.778876100001071,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,19712.991236151112389,11353413.640515530481935
32,31,42,003,526201,42003526201,5262.01,Census Tract 5262.01,G5020,S,6184827.000000000000000,0.000000000000000,+40.4888156,-079.7577790,15399.021161500000744,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,11709.233599188577500,6184327.494034177623689
33,32,42,003,526102,42003526102,5261.02,Census Tract 5261.02,G5020,S,13787281.000000000000000,0.000000000000000,+40.5021074,-079.7216045,23193.129405399999087,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,17618.671495627491822,13786171.256538268178701
34,33,42,003,526101,42003526101,5261.01,Census Tract 5261.01,G5020,S,34358935.000000000000000,979745.000000000000000,+40.5306515,-079.7633951,43011.280991400002677,53,42,003,61536,01217440,4200361536,Plum,Plum borough,21,C5,G4040, , , ,F,74026999.000000000000000,979745.000000000000000,+40.5024712,-079.7526302,59254.278252800002520,32686.353267589027382,35335865.914537005126476
35,34,42,003,050100,42003050100,501,Census Tract 501,G5020,S,790374.000000000000000,0.000000000000000,+40.4477128,-079.9728906,5812.292714819999674,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4421.987440900477850,790311.839310907991603
36,35,42,003,040900,42003040900,409,Census Tract 409,G5020,S,920943.000000000000000,0.000000000000000,+40.4332988,-079.9580096,7348.480638650000401,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,5592.743717347134407,920865.527757458388805
37,36,42,003,040600,42003040600,406,Census Tract 406,G5020,S,253063.000000000000000,0.000000000000000,+40.4367501,-079.9522852,3199.730175480000071,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,2433.230218353451619,253041.433405638003023
38,37,42,003,040500,42003040500,405,Census Tract 405,G5020,S,471939.000000000000000,0.000000000000000,+40.4396225,-079.9559526,4184.024685119999958,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,3182.737974869894515,471901.951526442484464
39,38,42,003,040400,42003040400,404,Census Tract 404,G5020,S,199462.000000000000000,0.000000000000000,+40.4473477,-079.9493726,2704.293371180000122,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,2056.030235522488510,199442.322138251067372
40,39,42,003,480102,42003480102,4801.02,Census Tract 4801.02,G5020,S,1693920.000000000000000,0.000000000000000,+40.3443402,-079.9995273,9701.119473459999426,153,42,003,03928,01214765,4200303928,Baldwin,Baldwin borough,21,C5,G4040, , , ,F,14977914.000000000000000,275717.000000000000000,+40.3796070,-079.9456410,56054.587657299998682,7387.637543483634545,1693788.693499865708873
41,40,42,003,480300,42003480300,4803,Census Tract 4803,G5020,S,2869808.000000000000000,275717.000000000000000,+40.3942684,-079.9616617,22133.861234299998614,153,42,003,03928,01214765,4200303928,Baldwin,Baldwin borough,21,C5,G4040, , , ,F,14977914.000000000000000,275717.000000000000000,+40.3796070,-079.9456410,56054.587657299998682,16846.184217790181719,3145271.509079566225410
42,41,42,003,480200,42003480200,4802,Census Tract 4802,G5020,S,3090862.000000000000000,0.000000000000000,+40.3568044,-079.9624792,14527.767858999999589,153,42,003,03928,01214765,4200303928,Baldwin,Baldwin borough,21,C5,G4040, , , ,F,14977914.000000000000000,275717.000000000000000,+40.3796070,-079.9456410,56054.587657299998682,11061.922832599771937,3090616.083257753867656
43,42,42,003,480400,42003480400,4804,Census Tract 4804,G5020,S,5031936.000000000000000,0.000000000000000,+40.3803481,-079.9524657,14262.291902299999492,153,42,003,03928,01214765,4200303928,Baldwin,Baldwin borough,21,C5,G4040, , , ,F,14977914.000000000000000,275717.000000000000000,+40.3796070,-079.9456410,56054.587657299998682,10860.575448783994943,5031532.528202735818923
44,43,42,003,489001,42003489001,4890.01,Census Tract 4890.01,G5020,S,3723735.000000000000000,0.000000000000000,+40.3294886,-079.9507030,11997.907083000000057,52,42,003,61328,01214819,4200361328,Pleasant Hills,Pleasant Hills borough,21,C5,G4040, , , ,F,7191928.000000000000000,0.000000000000000,+40.3298154,-079.9596493,16693.770656299999246,9139.999340205036788,3723452.475583918858320
45,44,42,003,489002,42003489002,4890.02,Census Tract 4890.02,G5020,S,3468193.000000000000000,0.000000000000000,+40.3301656,-079.9692548,11669.211709100000007,52,42,003,61328,01214819,4200361328,Pleasant Hills,Pleasant Hills borough,21,C5,G4040, , , ,F,7191928.000000000000000,0.000000000000000,+40.3298154,-079.9596493,16693.770656299999246,8889.701507218900588,3467926.542932266369462
46,45,42,003,479000,42003479000,4790,Census Tract 4790,G5020,S,1311095.000000000000000,0.000000000000000,+40.3801463,-080.0142932,11865.226795500000662,154,42,003,03932,01215798,4200303932,Baldwin,Baldwin township,44,T1,G4040, , , ,A,1311095.000000000000000,0.000000000000000,+40.3801463,-080.0142932,11865.226795500000662,9032.300355441564534,1310989.112732394598424
47,46,42,003,980900,42003980900,9809,Census Tract 9809,G5020,S,1453388.000000000000000,854869.000000000000000,+40.4659231,-080.0458881,10046.517369600000166,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,7634.318675657192216,2308071.201804655138403
48,47,42,003,980400,42003980400,9804,Census Tract 9804,G5020,S,1106408.000000000000000,0.000000000000000,+40.4819387,-080.0200201,9522.613800679999258,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,7238.426388724328717,1106317.912105483002961
49,48,42,003,980500,42003980500,9805,Census Tract 9805,G5020,S,1603807.000000000000000,8799.000000000000000,+40.4327243,-079.9436647,7459.644287260000056,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,5674.894576718922508,1612474.332983762258664
50,49,42,003,981000,42003981000,9810,Census Tract 9810,G5020,S,1377043.000000000000000,0.000000000000000,+40.4730821,-079.9488759,8218.361453629999232,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,6250.458500543608352,1376928.736742778681219
51,50,42,003,981100,42003981100,9811,Census Tract 9811,G5020,S,876833.000000000000000,0.000000000000000,+40.4420424,-079.9063310,5953.821029020000424,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4529.480907209725956,876761.807557757361792
52,51,42,003,525300,42003525300,5253,Census Tract 5253,G5020,S,1628221.000000000000000,198505.000000000000000,+40.5251473,-079.8363942,8969.155406489999223,43,42,003,56088,01214814,4200356088,Oakmont,Oakmont borough,21,C5,G4040, , , ,F,4116244.000000000000000,471528.000000000000000,+40.5197561,-079.8366723,13264.321988300000157,6818.604201297603140,1826578.803654945688322
53,52,42,003,525200,42003525200,5252,Census Tract 5252,G5020,S,1126690.000000000000000,273023.000000000000000,+40.5158744,-079.8451025,6726.501016189999973,43,42,003,56088,01214814,4200356088,Oakmont,Oakmont borough,21,C5,G4040, , , ,F,4116244.000000000000000,471528.000000000000000,+40.5197561,-079.8366723,13264.321988300000157,5108.038862750869157,1399605.396403019316494
54,53,42,003,525100,42003525100,5251,Census Tract 5251,G5020,S,1361333.000000000000000,0.000000000000000,+40.5171973,-079.8292453,8363.345907909999369,43,42,003,56088,01214814,4200356088,Oakmont,Oakmont borough,21,C5,G4040, , , ,F,4116244.000000000000000,471528.000000000000000,+40.5197561,-079.8366723,13264.321988300000157,6353.324696303800010,1361225.612906871596351
55,54,42,003,524000,42003524000,5240,Census Tract 5240,G5020,S,1307950.000000000000000,235447.000000000000000,+40.5056721,-079.8419473,8560.242604240000219,109,42,003,80032,01214832,4200380032,Verona,Verona borough,21,C5,G4040, , , ,F,1307950.000000000000000,235447.000000000000000,+40.5056721,-079.8419473,8560.242604240000219,6502.011152687335198,1543272.582634284393862
56,55,42,003,523800,42003523800,5238,Census Tract 5238,G5020,S,4796707.000000000000000,329880.000000000000000,+40.4923442,-079.8413597,14509.394466100000500,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,11029.678085448507773,5126174.820152782835066
57,56,42,003,523702,42003523702,5237.02,Census Tract 5237.02,G5020,S,7000149.000000000000000,0.000000000000000,+40.4903517,-079.7976748,21010.037355100001150,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,15969.611484581384502,6999582.790021670050919
58,57,42,003,523701,42003523701,5237.01,Census Tract 5237.01,G5020,S,6549531.000000000000000,0.000000000000000,+40.5041072,-079.8181392,17719.948227000000770,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,13463.925256992364666,6549005.871381313540041
59,58,42,003,523600,42003523600,5236,Census Tract 5236,G5020,S,5028416.000000000000000,0.000000000000000,+40.4509498,-079.8123587,12899.915882499999498,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,9810.810028111227439,5028007.093663217499852
60,59,42,003,523502,42003523502,5235.02,Census Tract 5235.02,G5020,S,4714137.000000000000000,0.000000000000000,+40.4641765,-079.7901451,14436.072116999999707,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,10976.001154874817075,4713755.008688768371940
61,60,42,003,523501,42003523501,5235.01,Census Tract 5235.01,G5020,S,4585319.000000000000000,0.000000000000000,+40.4723026,-079.8104940,12265.330819999999221,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,9325.208683560844293,4584947.825320577248931
62,61,42,003,523400,42003523400,5234,Census Tract 5234,G5020,S,3254191.000000000000000,0.000000000000000,+40.4561889,-079.8334732,9781.591174010000032,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,7434.610473049438951,3253924.176826572045684
63,62,42,003,523300,42003523300,5233,Census Tract 5233,G5020,S,3565213.000000000000000,0.000000000000000,+40.4727135,-079.8343786,12382.305689900000289,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,9412.941043439424902,3564923.689529194030911
64,63,42,003,523200,42003523200,5232,Census Tract 5232,G5020,S,3220324.000000000000000,0.000000000000000,+40.4626131,-079.8533691,11548.938496200000372,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,8777.889328995668620,3220064.289983396418393
65,64,42,003,523100,42003523100,5231,Census Tract 5231,G5020,S,6801072.000000000000000,288443.000000000000000,+40.4716777,-079.8714726,17313.562946800000645,47,42,003,59032,01215823,4200359032,Penn Hills,Penn Hills township,44,T1,G4040, , , ,A,49515059.000000000000000,618323.000000000000000,+40.4782478,-079.8292924,47733.765048799999931,13163.879530487653028,7088943.552801804617047
66,65,42,003,040200,42003040200,402,Census Tract 402,G5020,S,613251.000000000000000,0.000000000000000,+40.4401103,-079.9663478,6656.807382869999856,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,5065.556935962516036,613201.003910410334356
67,66,42,003,030500,42003030500,305,Census Tract 305,G5020,S,667607.000000000000000,0.000000000000000,+40.4427334,-079.9837718,5975.011482199999591,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4544.663510842294272,667550.098716132459231
68,67,42,003,020300,42003020300,203,Census Tract 203,G5020,S,1593129.000000000000000,329216.000000000000000,+40.4544996,-079.9812762,9933.891923360000874,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,7555.356480386553812,1922187.617323560407385
69,68,42,003,020100,42003020100,201,Census Tract 201,G5020,S,1679322.000000000000000,479693.000000000000000,+40.4407662,-079.9992790,10197.883406200000536,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,7760.124267658120516,2158841.960560867097229
70,69,42,003,473402,42003473402,4734.02,Census Tract 4734.02,G5020,S,1772510.000000000000000,0.000000000000000,+40.3591663,-080.0417412,8956.473165789999257,35,42,003,51696,01215817,4200351696,Mount Lebanon,Mount Lebanon township,44,T1,G4040, , , ,A,15742143.000000000000000,6712.000000000000000,+40.3766961,-080.0489425,34236.512049999997544,6820.616468492943568,1772371.216038804268464
71,70,42,003,474102,42003474102,4741.02,Census Tract 4741.02,G5020,S,4783902.000000000000000,0.000000000000000,+40.3402927,-080.0673478,16390.683635299999878,108,42,003,79274,01215836,4200379274,Upper St. Clair,Upper St. Clair township,44,T1,G4040, , , ,A,25428977.000000000000000,20331.000000000000000,+40.3335393,-080.0812668,35147.781080399996426,12476.988706152655141,4783533.870680205523968
72,71,42,003,475101,42003475101,4751.01,Census Tract 4751.01,G5020,S,3130291.000000000000000,0.000000000000000,+40.3469821,-080.0404460,10645.942241599999761,165,42,003,06064,01214770,4200306064,Bethel Park,Bethel Park municipality,37,C5,G4040, , , ,F,30227275.000000000000000,0.000000000000000,+40.3238892,-080.0363675,29957.148819400001230,8110.485772448500938,3130050.760568357072771
73,72,42,003,475102,42003475102,4751.02,Census Tract 4751.02,G5020,S,1826600.000000000000000,0.000000000000000,+40.3370364,-080.0361384,7685.254502120000325,165,42,003,06064,01214770,4200306064,Bethel Park,Bethel Park municipality,37,C5,G4040, , , ,F,30227275.000000000000000,0.000000000000000,+40.3238892,-080.0363675,29957.148819400001230,5853.377275090959301,1826461.240638024872169
74,73,42,003,475200,42003475200,4752,Census Tract 4752,G5020,S,4720849.000000000000000,0.000000000000000,+40.3240324,-080.0560042,18616.738208700000541,165,42,003,06064,01214770,4200306064,Bethel Park,Bethel Park municipality,37,C5,G4040, , , ,F,30227275.000000000000000,0.000000000000000,+40.3238892,-080.0363675,29957.148819400001230,14173.988087868579896,4720488.138579268008471
